timestamp,reference_temp_c,reference_humidity_pct,temp_c,humidity_pct
2026-06-01 00:00:00,33.12,48.7,39.67,49.23
2026-06-01 01:00:00,31.14,51.8,37.2,54.76
2026-06-01 02:00:00,30.3,53.7,35.43,57.3
2026-06-01 03:00:00,28.82,59.0,35.06,62.99
2026-06-01 04:00:00,26.22,60.1,31.1,59.8
2026-06-01 05:00:00,25.24,61.0,29.4,66.19
2026-06-01 06:00:00,24.85,62.8,41.25,63.94
2026-06-01 07:00:00,24.08,66.9,28.38,71.83
2026-06-01 08:00:00,23.99,70.2,28.81,73.68
2026-06-01 09:00:00,23.86,66.9,28.5,66.8
2026-06-01 10:00:00,25.16,65.2,29.97,67.67
2026-06-01 11:00:00,26.07,64.1,31.49,68.22
2026-06-01 12:00:00,27.03,63.6,32.45,68.31
2026-06-01 13:00:00,28.9,58.5,34.59,61.07
2026-06-01 14:00:00,30.19,54.2,36.12,60.74
2026-06-01 15:00:00,31.21,54.1,37.4,59.32
2026-06-01 16:00:00,33.15,49.9,38.27,51.75
2026-06-01 17:00:00,33.86,49.6,39.96,53.96
2026-06-01 18:00:00,35.55,45.0,40.99,52.08
2026-06-01 19:00:00,35.78,41.0,42.37,47.95
2026-06-01 20:00:00,35.93,40.3,42.52,39.25
2026-06-01 21:00:00,35.52,46.7,42.57,46.72
2026-06-01 22:00:00,35.69,48.1,42.84,54.22
2026-06-01 23:00:00,34.18,46.2,40.61,45.86
2026-06-02 00:00:00,32.83,48.2,38.7,47.3
2026-06-02 01:00:00,31.41,54.8,37.56,56.32
2026-06-02 02:00:00,30.21,52.8,35.68,56.49
2026-06-02 03:00:00,28.59,56.3,34.08,58.86
2026-06-02 04:00:00,27.17,62.3,32.94,63.79
2026-06-02 05:00:00,25.93,62.7,30.74,64.15
2026-06-02 06:00:00,25.66,65.4,31.11,66.89
2026-06-02 07:00:00,24.04,66.3,29.18,67.42
2026-06-02 08:00:00,23.8,67.7,40.09,76.79
2026-06-02 09:00:00,23.88,69.4,29.15,73.61
2026-06-02 10:00:00,25.05,65.6,30.36,71.1
2026-06-02 11:00:00,26.21,64.8,31.39,66.82
2026-06-02 12:00:00,26.95,56.9,31.81,59.28
2026-06-02 13:00:00,28.11,58.0,33.1,59.12
2026-06-02 14:00:00,29.67,53.3,35.05,49.34
2026-06-02 15:00:00,31.81,49.5,38.05,48.53
2026-06-02 16:00:00,33.3,47.2,39.02,45.03
2026-06-02 17:00:00,34.46,45.8,41.05,42.47
2026-06-02 18:00:00,34.93,46.4,40.75,45.73
2026-06-02 19:00:00,35.89,40.8,42.37,46.15
2026-06-02 20:00:00,36.05,43.1,42.71,45.14
2026-06-02 21:00:00,35.88,42.4,43.68,47.75
2026-06-02 22:00:00,35.54,44.0,41.38,47.23
2026-06-02 23:00:00,34.33,48.5,41.42,52.88
2026-06-03 00:00:00,33.27,50.1,39.54,50.35
2026-06-03 01:00:00,31.58,54.6,47.72,58.64
2026-06-03 02:00:00,30.12,54.7,35.9,59.26
2026-06-03 03:00:00,28.7,56.7,34.43,58.09
2026-06-03 04:00:00,26.42,60.6,31.51,65.03
2026-06-03 05:00:00,25.63,64.0,31.4,68.62
2026-06-03 06:00:00,24.62,65.7,29.28,67.61
2026-06-03 07:00:00,23.95,64.4,29.31,64.81
2026-06-03 08:00:00,23.89,67.2,28.35,67.6
2026-06-03 09:00:00,24.8,67.0,21.69,70.57
2026-06-03 10:00:00,24.46,70.4,28.79,74.74
2026-06-03 11:00:00,26.14,67.2,31.49,68.58
2026-06-03 12:00:00,26.33,59.3,32.2,62.33
2026-06-03 13:00:00,28.31,57.5,33.72,61.8
2026-06-03 14:00:00,30.07,52.1,35.68,56.25
2026-06-03 15:00:00,31.79,50.7,37.2,57.11
2026-06-03 16:00:00,33.28,49.6,39.36,55.27
2026-06-03 17:00:00,34.56,48.9,50.15,48.84
2026-06-03 18:00:00,35.06,43.1,41.06,49.46
2026-06-03 19:00:00,35.61,42.1,42.26,42.88
2026-06-03 20:00:00,36.34,38.7,43.65,43.25
2026-06-03 21:00:00,35.72,43.1,43.68,45.42
2026-06-03 22:00:00,34.69,42.5,40.8,43.59
2026-06-03 23:00:00,33.79,45.5,40.78,43.26
2026-06-04 00:00:00,32.63,47.2,38.85,49.13
2026-06-04 01:00:00,31.75,51.7,37.64,50.39
2026-06-04 02:00:00,30.06,51.5,35.99,56.49
2026-06-04 03:00:00,28.72,55.2,44.26,61.75
2026-06-04 04:00:00,26.83,65.3,32.11,66.57
2026-06-04 05:00:00,25.82,60.9,30.69,64.7
2026-06-04 06:00:00,25.05,63.2,29.31,64.55
2026-06-04 07:00:00,24.08,70.3,28.12,72.24
2026-06-04 08:00:00,24.18,72.8,29.33,78.38
2026-06-04 09:00:00,23.94,64.2,28.59,67.31
2026-06-04 10:00:00,24.66,64.7,29.26,72.28
2026-06-04 11:00:00,25.6,64.2,30.64,66.2
2026-06-04 12:00:00,26.52,64.5,32.1,70.22
2026-06-04 13:00:00,28.64,56.1,34.23,59.15
2026-06-04 14:00:00,29.81,54.5,45.15,59.21
2026-06-04 15:00:00,31.56,53.4,38.11,54.95
2026-06-04 16:00:00,33.19,49.9,40.16,52.27
2026-06-04 17:00:00,34.42,45.8,53.03,47.8
2026-06-04 18:00:00,35.46,44.3,42.47,44.42
2026-06-04 19:00:00,35.76,40.7,42.94,44.39
2026-06-04 20:00:00,35.83,42.5,42.97,46.25
2026-06-04 21:00:00,35.76,42.9,42.63,46.53
2026-06-04 22:00:00,34.52,45.1,41.2,51.2
2026-06-04 23:00:00,33.66,45.4,40.17,51.29
2026-06-05 00:00:00,32.47,49.9,37.99,51.46
2026-06-05 01:00:00,31.15,53.9,37.37,57.53
2026-06-05 02:00:00,30.16,55.3,35.21,56.51
2026-06-05 03:00:00,28.08,58.8,33.09,61.8
2026-06-05 04:00:00,26.85,61.1,32.73,62.66
2026-06-05 05:00:00,26.28,63.5,31.84,70.73
